id,CHN202205210
version,2
info,visteam,ARI
info,hometeam,CHN
info,site,CHI11
info,date,2022/05/21
info,number,0
info,starttime,1:20PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,guccc901
info,ump1b,tosia901
info,ump2b,becka901
info,ump3b,addir901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:52
info,howscored,unknown
info,pitches,pitches
info,oscorer,lissr701
info,temp,60
info,winddir,fromrf
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,overcast
info,timeofgame,222
info,attendance,32269
info,wp,kenni001
info,lp,wickr001
info,save,melam001
start,luplj001,"Jordan Luplow",0,1,10
start,rojaj001,"Josh Rojas",0,2,5
start,martk001,"Ketel Marte",0,3,4
start,walkc002,"Christian Walker",0,4,3
start,mccaj003,"Jake McCarthy",0,5,9
start,varsd001,"Daulton Varsho",0,6,2
start,perad001,"David Peralta",0,7,7
start,thoma004,"Alek Thomas",0,8,8
start,perdg001,"Geraldo Perdomo",0,9,6
start,bumgm001,"Madison Bumgarner",0,0,1
start,contw001,"Willson Contreras",1,1,10
start,villj001,"Jonathan Villar",1,2,5
start,suzus001,"Seiya Suzuki",1,3,9
start,gomey001,"Yan Gomes",1,4,2
start,schwf001,"Frank Schwindel",1,5,3
start,wisdp001,"Patrick Wisdom",1,6,7
start,morec001,"Christopher Morel",1,7,8
start,vargi001,"Ildemaro Vargas",1,8,4
start,simma001,"Andrelton Simmons",1,9,6
start,steej002,"Justin Steele",1,0,1
play,1,0,luplj001,12,CSBS,K
play,1,0,rojaj001,32,CFBBBS,K
play,1,0,martk001,22,BBSFS,K
play,1,1,contw001,00,,NP
sub,herny003,"Yonny Hernandez",0,2,5
play,1,1,contw001,22,.FBSBX,8/F89D+
play,1,1,villj001,12,SBSS,K
play,1,1,suzus001,11,BCX,9/F9LS
play,2,0,walkc002,32,BBBCFFX,7/F78XD
play,2,0,mccaj003,22,BFFBC,K
play,2,0,varsd001,32,BCBFFBC,K
play,2,1,gomey001,00,X,53/G56D
play,2,1,schwf001,01,CX,HR/F7D
play,2,1,wisdp001,11,BCX,HR/F78XD
play,2,1,morec001,10,BX,9/F9D
play,2,1,vargi001,11,CBX,53/G56
play,3,0,perad001,31,BBBCB,W
play,3,0,thoma004,02,SCX,8/F8
play,3,0,perdg001,12,CBCX,S7/L7S.1-2
play,3,0,luplj001,12,BFSX,9/L9D.2-3
play,3,0,herny003,22,F1BF*BX,7/L7L
play,3,1,simma001,02,FSX,6/P56
play,3,1,contw001,00,X,S7/G56+
play,3,1,villj001,12,BFS>B,SB2
play,3,1,villj001,32,BFS>B.F*BC,K
play,3,1,suzus001,11,BF,NP
sub,orter001,"Rafael Ortega",1,1,12
play,3,1,suzus001,22,BF.CFBX,D7/G5+.2-H
com,"$D-backs third baseman Josh Rojas left the game due to an injured hand."
play,3,1,gomey001,10,B.X,S8/G4M.2-H
play,3,1,schwf001,01,CX,4/P34D
play,4,0,martk001,32,.FBBBFX,43/G4MD
play,4,0,walkc002,22,BFBFS,K
play,4,0,mccaj003,31,BBBCB,W
play,4,0,varsd001,12,FCBB,WP.1-2
play,4,0,varsd001,22,FCBB.FS,K
play,4,1,wisdp001,01,CX,63/G6
play,4,1,morec001,22,BCBFC,K
play,4,1,vargi001,00,X,9/F89XD
play,5,0,perad001,02,CSC,K
play,5,0,thoma004,21,BCBX,13/G6MS
play,5,0,perdg001,22,BCBFS,K
play,5,1,simma001,02,CFC,K
play,5,1,orter001,22,FSFBBFX,5/P5F/FL
play,5,1,villj001,01,CX,13/G1
play,6,0,luplj001,00,,NP
sub,martc007,"Chris Martin",1,0,1
play,6,0,luplj001,12,.SBSS,K
play,6,0,herny003,11,CBX,23/BG2-
play,6,0,martk001,00,X,43/G34
play,6,1,suzus001,32,CBBBFX,63/G6
play,6,1,gomey001,32,BBCBFX,63/G6S
play,6,1,schwf001,12,CFBFF*S,K
play,7,0,walkc002,22,FBCFBS,K
play,7,0,mccaj003,00,,NP
sub,hughb002,"Brandon Hughes",1,0,1
play,7,0,mccaj003,32,.CCBBBX,S9/G3
play,7,0,varsd001,32,BBFBCX,S14/L4.1-2
play,7,0,perad001,02,SF*S,K
play,7,0,thoma004,32,BBBCF>F>X,S8/L8S.2-H;1-3
play,7,0,perdg001,10,BX,8/L8D
play,7,1,wisdp001,12,CCFFFBC,K
play,7,1,morec001,22,BBSFS,K
play,7,1,vargi001,12,CFBX,7/F7L
play,8,0,luplj001,00,,NP
sub,effrs001,"Scott Effross",1,0,1
play,8,0,luplj001,00,.,NP
sub,smitp002,"Pavin Smith",0,1,11
play,8,0,smitp002,31,..BCBBX,HR/F89XD
play,8,0,herny003,02,CCS,K
play,8,0,martk001,32,BBFBSX,S4/G3
play,8,0,walkc002,02,FFS,K
play,8,0,mccaj003,00,,NP
sub,robed002,"David Robertson",1,0,1
play,8,0,mccaj003,00,.X,D7/L7L.1-H
play,8,0,varsd001,12,CCBX,S8/L89+.2-H;BX2(86)
play,8,1,simma001,00,.,NP
