Type,Inning,Visiting/Home (0/1),Retro PID,Count,Pitches,Event
play,1,1,loweb001,00,X,S8/L8
play,1,1,franw002,02,SCFX,43/G34.1-2
play,1,1,arozr001,22,BFCBS,K
play,1,1,choij001,31,BCBBX,5/P5F/FL
play,2,1,diazy001,10,BX,S8/L8+
play,2,1,lowej002,00,X,S7/L7L.1-2
play,2,1,margm001,12,BSFX,6/P6
play,2,1,kierk001,11,SBX,8/F8D.2-3;1-2
play,2,1,mejif001,02,CFFFX,43/G34
play,3,1,loweb001,20,BBX,6/P5
play,3,1,franw002,31,BBBSX,6/P78S
play,3,1,arozr001,11,SBX,7/L7
play,4,1,choij001,10,BX,HR/F9D
play,4,1,diazy001,12,CBFX,63/G6D+
play,4,1,lowej002,22,CBFBS,K
play,4,1,margm001,22,CSBB*S,K
play,5,1,kierk001,12,CSBX,53/G4MD
play,5,1,mejif001,12,FBFX,6/P56
play,5,1,loweb001,01,SX,53/G4
play,6,1,franw002,01,FX,63/G56
play,6,1,arozr001,02,SSS,K
play,6,1,choij001,32,CBBFFBC,K
play,7,1,diazy001,01,FX,S9/G34
play,7,1,lowej002,11,FBX,FC4/G4.1-2(E4);B-1
play,7,1,margm001,22,BFBCT,K
play,7,1,kierk001,00,,NP
play,1,1,diazy001,11,BFX,53/G56
play,1,1,choij001,12,CBSX,43/G4
play,1,1,margm001,22,BSCBX,E6/G56.B-1
play,1,1,arozr001,12,C1C1BB,WP.1-2
play,1,1,arozr001,22,C1C1BB.FX,53/G5
play,2,1,perad001,32,BFBSFBS,K
play,2,1,parei001,22,CCBFBS,K
play,2,1,bethc001,12,SBTS,K
play,3,1,wallt003,22,BFCB*S,K.BX1(23)
play,3,1,sirij001,32,FFBFBFBX,63/G56
play,3,1,diazy001,32,BSBCFBX,S8/L8D
play,3,1,choij001,32,BSBSB>C,K
play,4,1,margm001,01,SX,63/G6
play,4,1,arozr001,22,BSTBX,4/L4
play,4,1,perad001,32,SSBBFBFS,K
play,5,1,parei001,11,BFX,2/P2
play,5,1,bethc001,12,SSB*S,K
play,5,1,wallt003,32,SSBBBFX,C/E2.B-1
play,5,1,sirij001,11,.1*BFX,4/P4MD
play,6,1,diazy001,00,,NP
