id,DET202308080
version,2
info,visteam,MIN
info,hometeam,DET
info,site,DET05
info,date,2023/08/08
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,cejan901
info,ump1b,tomln901
info,ump2b,onorb901
info,ump3b,hobep901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/01 09:06:40
info,howscored,unknown
info,pitches,pitches
info,oscorer,klonc701
info,temp,82
info,winddir,rtol
info,windspeed,11
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,145
info,attendance,16588
info,wp,rodre004
info,lp,grays001
info,save,
start,solad001,"Donovan Solano",0,1,3
start,polaj001,"Jorge Polanco",0,2,4
start,corrc001,"Carlos Correa",0,3,6
start,luplj001,"Jordan Luplow",0,4,10
start,castw003,"Willi Castro",0,5,7
start,farmk001,"Kyle Farmer",0,6,5
start,wallm001,"Matt Wallner",0,7,9
start,vazqc001,"Christian Vazquez",0,8,2
start,taylm002,"Michael A. Taylor",0,9,8
start,grays001,"Sonny Gray",0,0,1
start,badda001,"Akil Baddoo",1,1,7
start,greer003,"Riley Greene",1,2,8
start,torks001,"Spencer Torkelson",1,3,3
start,cabrm001,"Miguel Cabrera",1,4,10
start,carpk001,"Kerry Carpenter",1,5,9
start,baezj001,"Javier Baez",1,6,6
start,mckiz001,"Zach McKinstry",1,7,5
start,maton001,"Nick Maton",1,8,4
start,rogej004,"Jake Rogers",1,9,2
start,rodre004,"Eduardo Rodriguez",1,0,1
play,1,0,solad001,02,CSFS,K
play,1,0,polaj001,12,CFBX,43/G4
play,1,0,corrc001,11,BCX,S9/L89+
play,1,0,luplj001,32,BCSFB*B>B,W.1-2
play,1,0,castw003,00,X,43/G4
play,1,1,badda001,02,FFFS,K
play,1,1,greer003,21,BCBX,D9/L89+
play,1,1,torks001,20,BBX,8/F8D+
play,1,1,cabrm001,00,X,E4/TH/G4S.2-H(NR)(UR);B-1
play,1,1,carpk001,12,BFF*S,K
play,2,0,farmk001,01,CX,43/G4
play,2,0,wallm001,11,BSX,5/P5SF/FL
play,2,0,vazqc001,00,X,3/P3F/FL
play,2,1,baezj001,12,BSF*S,K
play,2,1,mckiz001,12,SBFS,K
play,2,1,maton001,12,CSBS,K
play,3,0,taylm002,00,X,9/F9LS
play,3,0,solad001,32,BCF.FFBBX,S7/L78D+
play,3,0,polaj001,00,,NP
sub,gallj002,"Joey Gallo",0,1,12
play,3,0,polaj001,02,.SF.S,K
play,3,0,corrc001,00,X,S8/L8D.1-3
play,3,0,luplj001,21,BCBX,6/L56D
play,3,1,rogej004,00,,NP
sub,gallj002,"Joey Gallo",0,1,3
play,3,1,rogej004,02,.FS*S,K
play,3,1,badda001,01,FX,S7/L7S
play,3,1,greer003,12,F1C1*B*S,K
play,3,1,torks001,11,BC1>X,7/L7
play,4,0,castw003,22,SBFBX,3/P34
play,4,0,farmk001,11,TBX,63/G6
play,4,0,wallm001,02,TFC,K
play,4,1,cabrm001,22,VBCF.X,S9/G34
play,4,1,carpk001,11,BFX,D9/L9LD+.1-3
play,4,1,baezj001,12,CS*BX,S8/L8S.3-H;2-3
play,4,1,mckiz001,00,X,S8/G4M.3-H;1-3
play,4,1,maton001,12,FFB>B,CS2(26)
play,4,1,maton001,22,FFB>B.*S,K
play,4,1,rogej004,02,FSX,43/G4
play,5,0,vazqc001,01,.FX,63/G6
play,5,0,taylm002,32,S.BCFFFBFBFC,K
play,5,0,gallj002,32,BBBCCB,W
play,5,0,polaj001,01,CX,7/L7
play,5,1,badda001,22,CCBBX,S9/L9
play,5,1,greer003,00,B,WP.1-2
play,5,1,greer003,22,B.BCF*S,K
play,5,1,torks001,22,FTB*BFFS,K
play,5,1,cabrm001,12,FFBX,9/F9S
play,6,0,corrc001,32,BBBC.CB,W
play,6,0,luplj001,01,FX,8/F8D
play,6,0,castw003,02,CSF.X,14(1)3/GDP/G1S
play,6,1,carpk001,00,X,3/G34
play,6,1,baezj001,22,BCBCX,7/L7
play,6,1,mckiz001,11,BFX,43/G34D
play,7,0,farmk001,22,CBFBX,S7/L7
play,7,0,wallm001,10,BX,7/F7L
play,7,0,vazqc001,02,CFX,9/F89D
play,7,0,taylm002,32,*BFSBB>S,K
play,7,1,maton001,00,,NP
